num_vtx : edge_density : num_edges | num_groups_hash_level_0 num_groups_hash_level_1 ... | time_spent
10 : 0.05 : 2 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.05 : 4 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.05 : 2 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.05 : 5 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.05 : 1 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.05 : 3 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.05 : 2 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.05 : 4 | 4, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 0 ms
10 : 0.05 : 3 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.05 : 4 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.05 : 3 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.05 : 2 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.05 : 4 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.1 : 5 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.1 : 3 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.1 : 8 | 5, 8, 8, 8, 8, 8, 8, 7, 7, 7 | 0 ms
10 : 0.1 : 6 | 4, 5, 5, 5, 5, 5, 5, 4, 4, 4 | 0 ms
10 : 0.1 : 6 | 3, 4, 5, 5, 5, 5, 5, 5, 5, 5 | 0 ms
10 : 0.1 : 4 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.1 : 8 | 5, 7, 8, 8, 8, 8, 8, 8, 8, 8 | 0 ms
10 : 0.1 : 4 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.1 : 6 | 4, 6, 6, 6, 6, 6, 6, 5, 5, 5 | 0 ms
10 : 0.1 : 1 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.1 : 2 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.1 : 4 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.1 : 1 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.1 : 3 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.1 : 3 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.2 : 6 | 3, 5, 5, 5, 5, 5, 5, 4, 4, 4 | 0 ms
10 : 0.2 : 3 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.2 : 8 | 4, 5, 5, 5, 5, 5, 5, 4, 4, 4 | 0 ms
10 : 0.2 : 11 | 3, 7, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.2 : 12 | 4, 8, 8, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.2 : 13 | 5, 9, 10 | 0 ms
10 : 0.2 : 9 | 4, 7, 8, 8, 8, 8, 8, 8, 8, 8 | 0 ms
10 : 0.2 : 8 | 3, 6, 6, 6, 6, 6, 6, 6, 6, 6 | 0 ms
10 : 0.2 : 12 | 5, 10 | 0 ms
10 : 0.2 : 10 | 4, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.2 : 9 | 4, 8, 8, 10 | 0 ms
10 : 0.2 : 13 | 3, 5, 7, 10 | 0 ms
10 : 0.2 : 10 | 3, 6, 8, 9, 10 | 0 ms
10 : 0.2 : 11 | 3, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 0 ms
10 : 0.2 : 8 | 5, 7, 8, 8, 8, 8, 8, 8, 8, 8 | 0 ms
10 : 0.3 : 16 | 4, 8, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.3 : 14 | 6, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.3 : 12 | 4, 9, 10 | 0 ms
10 : 0.3 : 12 | 6, 7, 8, 8, 8, 8, 8, 8, 8, 8 | 0 ms
10 : 0.3 : 15 | 4, 8, 10 | 0 ms
10 : 0.3 : 15 | 5, 10 | 0 ms
10 : 0.3 : 16 | 5, 10 | 0 ms
10 : 0.3 : 14 | 5, 9, 10 | 0 ms
10 : 0.3 : 11 | 6, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.3 : 8 | 3, 7, 7, 7, 7, 7, 7, 7, 7, 7 | 0 ms
10 : 0.3 : 13 | 4, 8, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.3 : 15 | 5, 10 | 0 ms
10 : 0.3 : 15 | 4, 9, 10 | 0 ms
10 : 0.3 : 17 | 5, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.3 : 13 | 4, 6, 7, 7, 7, 7, 7, 7, 7, 7 | 0 ms
10 : 0.4 : 16 | 4, 7, 10 | 0 ms
10 : 0.4 : 14 | 4, 10 | 0 ms
10 : 0.4 : 17 | 5, 10 | 0 ms
10 : 0.4 : 23 | 6, 10 | 0 ms
10 : 0.4 : 15 | 5, 8, 9, 10 | 0 ms
10 : 0.4 : 18 | 5, 8, 8, 8, 8, 8, 8, 8, 8, 8 | 0 ms
10 : 0.4 : 18 | 6, 10 | 0 ms
10 : 0.4 : 19 | 5, 9, 10 | 0 ms
10 : 0.4 : 16 | 5, 9, 10 | 0 ms
10 : 0.4 : 25 | 5, 10 | 0 ms
10 : 0.4 : 13 | 4, 8, 10 | 0 ms
10 : 0.4 : 17 | 6, 10 | 0 ms
10 : 0.4 : 21 | 4, 7, 9, 10 | 0 ms
10 : 0.4 : 17 | 6, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.4 : 16 | 6, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.5 : 24 | 3, 5, 8, 10 | 0 ms
10 : 0.5 : 28 | 4, 8, 9, 10 | 0 ms
10 : 0.5 : 19 | 5, 9, 10 | 0 ms
10 : 0.5 : 20 | 4, 10 | 0 ms
10 : 0.5 : 26 | 6, 10 | 0 ms
10 : 0.5 : 18 | 6, 10 | 0 ms
10 : 0.5 : 19 | 6, 8, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.5 : 21 | 5, 10 | 0 ms
10 : 0.5 : 23 | 5, 10 | 0 ms
10 : 0.5 : 24 | 5, 10 | 0 ms
10 : 0.5 : 24 | 5, 9, 10 | 0 ms
10 : 0.5 : 23 | 4, 9, 10 | 0 ms
10 : 0.5 : 27 | 4, 9, 10 | 0 ms
10 : 0.5 : 23 | 7, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.5 : 19 | 5, 10 | 0 ms
10 : 0.6 : 32 | 5, 10 | 0 ms
10 : 0.6 : 25 | 4, 9, 10 | 0 ms
