num_vtx : edge_density : num_edges | num_groups_hash_level_0 num_groups_hash_level_1 ... | time_spent
10 : 0.96 : 44 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 0 ms
10 : 0.96 : 44 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 0 ms
10 : 0.96 : 42 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 0 ms
10 : 0.96 : 42 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.96 : 44 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 0 ms
10 : 0.96 : 44 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 0 ms
10 : 0.94 : 42 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 0 ms
10 : 0.94 : 41 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.94 : 40 | 3, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 0 ms
10 : 0.94 : 41 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.94 : 44 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 0 ms
10 : 0.94 : 40 | 4, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 0 ms
10 : 0.94 : 42 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.92 : 42 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.92 : 42 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.92 : 43 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.92 : 42 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.92 : 41 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.92 : 41 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.92 : 40 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.9 : 41 | 4, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 0 ms
10 : 0.9 : 39 | 3, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 0 ms
10 : 0.9 : 43 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.9 : 41 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.9 : 39 | 3, 5, 6, 6, 6, 6, 6, 6, 6, 6 | 0 ms
10 : 0.9 : 43 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.9 : 38 | 4, 7, 7, 7, 7, 7, 7, 7, 7, 7 | 0 ms
10 : 0.9 : 41 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 0 ms
10 : 0.88 : 38 | 5, 8, 8, 8, 8, 8, 8, 8, 8, 8 | 0 ms
10 : 0.88 : 39 | 4, 6, 6, 6, 6, 6, 6, 6, 6, 6 | 0 ms
10 : 0.88 : 42 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.88 : 38 | 2, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.88 : 42 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.88 : 37 | 4, 6, 7, 8, 8, 8, 8, 8, 8, 8 | 0 ms
10 : 0.88 : 43 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 0 ms
10 : 0.88 : 42 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 0 ms
10 : 0.85 : 40 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.85 : 39 | 4, 6, 6, 6, 6, 6, 6, 6, 6, 6 | 0 ms
10 : 0.85 : 37 | 4, 7, 9, 9, 9, 9, 9, 9, 9, 9 | 0 ms
10 : 0.85 : 39 | 3, 4, 5, 5, 5, 5, 5, 5, 5, 5 | 0 ms
10 : 0.85 : 39 | 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.85 : 38 | 4, 7, 7, 7, 7, 7, 7, 7, 7, 7 | 0 ms
10 : 0.85 : 36 | 4, 8, 10 | 0 ms
10 : 0.85 : 39 | 4, 6, 6, 6, 6, 6, 6, 6, 6, 6 | 0 ms
10 : 0.82 : 41 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.82 : 39 | 3, 5, 6, 6, 6, 6, 6, 6, 6, 6 | 0 ms
10 : 0.82 : 41 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.82 : 37 | 4, 6, 7, 7, 7, 7, 7, 7, 7, 7 | 0 ms
10 : 0.82 : 37 | 4, 7, 8, 8, 8, 8, 8, 8, 8, 8 | 0 ms
10 : 0.82 : 38 | 4, 6, 6, 6, 6, 6, 6, 6, 6, 6 | 0 ms
10 : 0.82 : 40 | 3, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 0 ms
10 : 0.82 : 39 | 4, 6, 6, 6, 6, 6, 6, 6, 6, 6 | 0 ms
10 : 0.8 : 34 | 5, 9, 10 | 0 ms
10 : 0.8 : 40 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.8 : 40 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.8 : 38 | 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 0 ms
10 : 0.8 : 38 | 4, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 0 ms
10 : 0.8 : 38 | 4, 6, 7, 7, 7, 7, 7, 7, 7, 7 | 0 ms
