num_vtx : edge_density : num_edges | num_groups_hash_level_0 num_groups_hash_level_1 ... | time_spent
10 : 0.06 : 2 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.06 : 1 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.06 : 6 | 3, 5, 5, 5, 5, 5, 5, 4, 4, 4 | 0 ms
10 : 0.06 : 2 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.06 : 3 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.06 : 2 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.06 : 5 | 4, 6, 6, 6, 6, 6, 6, 6, 6, 6 | 0 ms
10 : 0.06 : 1 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.06 : 2 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.06 : 3 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.06 : 3 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.06 : 3 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.06 : 1 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.06 : 3 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.08 : 4 | 4, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 1 ms
10 : 0.08 : 5 | 4, 5, 5, 5, 5, 5, 5, 4, 4, 4 | 0 ms
10 : 0.08 : 4 | 3, 3, 3, 3, 3, 3, 3, 2, 2, 2 | 0 ms
10 : 0.08 : 3 | 3, 4, 4, 4, 4, 4, 4, 3, 3, 3 | 0 ms
10 : 0.08 : 2 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.08 : 3 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
10 : 0.08 : 1 | 2, 2, 2, 2, 2, 2, 2, 1, 1, 1 | 0 ms
10 : 0.08 : 3 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 0 ms
